epoch,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,lr
1,4.471150170120539,0.09509803921568627,3.5568783320632638,0.4107843137254902,3.6332938670724326,0.36705155309806475,9.972609476841367e-05
2,3.0327787062701055,0.4715686274509804,1.890477747075698,0.6029411764705882,1.9713416613200987,0.5997723207025533,9.890738003669029e-05
3,1.6279460355347277,0.6774509803921569,1.1666662382144555,0.7323529411764705,1.3213186602918943,0.7015774922751667,9.755282581475769e-05
4,0.9686537957658955,0.8098039215686275,0.8301032293076609,0.8156862745098039,0.9002439630363099,0.8019190112213368,9.567727288213003e-05
5,0.6477058228324442,0.8813725490196078,0.6619433599359849,0.8647058823529412,0.8179410382642419,0.8207838672954952,9.330127018922194e-05
6,0.4999621094441881,0.9029411764705882,0.6228296044994803,0.8686274509803922,0.7071151844896637,0.8430639128313547,9.045084971874738e-05
7,0.398888912154179,0.9245098039215687,0.6184583239695605,0.8519607843137255,0.7022361351956505,0.8320052040982273,8.715724127386972e-05
8,0.30525731286581825,0.9411764705882353,0.5352362847211314,0.8686274509803922,0.6722141362812717,0.8420881444137258,8.345653031794292e-05
9,0.29808794791791954,0.9392156862745098,0.49587006487098395,0.8745098039215686,0.6218772578222962,0.8503821759635714,7.938926261462366e-05
10,0.25871359723455767,0.9509803921568627,0.5391036283736136,0.8754901960784314,0.6209714184264513,0.8614408846966987,7.500000000000001e-05
11,0.26375250763752883,0.9411764705882353,0.49163660120730307,0.8764705882352941,0.5822463865943373,0.8666449829240527,7.033683215379003e-05
12,0.21556250780236488,0.957843137254902,0.4707492128306744,0.8862745098039215,0.5752291165366175,0.8643681899495853,6.545084971874738e-05
13,0.18313128547925575,0.9588235294117647,0.48174281728033924,0.8823529411764706,0.5946158231332217,0.8578630671653927,6.039558454088797e-05
14,0.18764701742751927,0.9598039215686275,0.46307472761939555,0.8862745098039215,0.5670068308209419,0.8630671653927467,5.522642316338269e-05
15,0.19627322975326986,0.9598039215686275,0.4528947693460128,0.8931372549019608,0.5485983279070673,0.8713611969425923,5.000000000000002e-05
16,0.17400125516395942,0.9568627450980393,0.43770672117962556,0.9049019607843137,0.550571508820725,0.8736379899170597,4.4773576836617344e-05
17,0.1659520203138099,0.9647058823529412,0.43430367509524026,0.9019607843137255,0.536800289967328,0.8746137583346886,3.9604415459112035e-05
18,0.1870350033044815,0.9549019607843138,0.4151190014446483,0.9,0.5234001320740579,0.8746137583346886,3.4549150281252636e-05
19,0.1394674377990704,0.9715686274509804,0.41735829588244944,0.8990196078431373,0.5078798998150278,0.8806309969100666,2.966316784621e-05
20,0.14272601925859266,0.9725490196078431,0.39812960782471823,0.9098039215686274,0.4988383316612279,0.8803057407708571,2.5000000000000015e-05
21,0.1395028493568009,0.9705882352941176,0.39116443681950663,0.9068627450980392,0.49955882668340085,0.8804683688404619,2.0610737385376352e-05
22,0.12106207200125152,0.9794117647058823,0.3917918703135322,0.907843137254902,0.5077417524248861,0.8814441372580908,1.654346968205711e-05
23,0.09131233446738299,0.9813725490196078,0.3901370141436072,0.9137254901960784,0.503882539497195,0.8825825337453245,1.2842758726130304e-05
24,0.12140245823299184,0.9745098039215686,0.387017613883112,0.9127450980392157,0.4982062942927146,0.8827451618149292,9.549150281252636e-06
25,0.11989373225791781,0.9784313725490196,0.38664460988605726,0.907843137254902,0.4971553932098106,0.8833956740933485,6.698729810778068e-06
26,0.10415412447616165,0.9823529411764705,0.38819119012823294,0.9068627450980392,0.492592595389198,0.8845340705805822,4.322727117869953e-06
27,0.11105717531606263,0.9784313725490196,0.3820918773319207,0.9137254901960784,0.48654098609384533,0.8832330460237438,2.447174185242324e-06
28,0.11878606015268495,0.9813725490196078,0.38637442483621487,0.9098039215686274,0.4922933389482255,0.8853472109286062,1.092619963309716e-06
29,0.11453779190778732,0.9774509803921568,0.3854422677381366,0.9088235294117647,0.4896168906655442,0.8835583021629533,2.7390523158633003e-07
30,0.11797424204209271,0.9696078431372549,0.3871785477095959,0.9088235294117647,0.4907546562876793,0.8855098389982111,0.0
